N_img,x_wp,y_wp,class
img0,74,229,0
img0,58,555,1
img0,88,229,0
img0,70,651,1
img0,103,230,0
img0,84,651,1
img0,118,231,0
img0,98,650,1
img0,131,231,0
img0,112,651,1
img0,145,232,0
img0,127,655,1
img0,161,230,0
img0,141,654,1
img0,174,231,0
img0,155,653,1
img0,188,233,0
img0,170,653,1
img0,203,234,0
img0,184,653,1
img0,216,232,0
img0,198,633,1
img0,231,233,0
img0,211,635,1
img0,245,233,0
img0,226,653,1
img0,259,233,0
img0,241,653,1
img0,274,233,0
img0,255,655,1
img0,288,234,0
img0,268,654,1
img0,301,235,0
img0,283,655,1
img0,316,235,0
img0,297,653,1
img0,330,236,0
img0,311,655,1
img0,344,234,0
img0,325,653,1
img0,358,235,0
img0,339,654,1
img0,373,236,0
img0,354,655,1
img0,386,236,0
img0,368,655,1
img0,401,236,0
img0,382,656,1
img0,415,237,0
img0,397,657,1
img0,428,238,0
img0,411,657,1
img0,444,239,0
img0,424,655,1
img0,459,238,0
img0,440,655,1
img0,472,239,0
img0,454,657,1
img0,485,239,0
img0,467,657,1
img0,501,239,0
img0,481,657,1
img0,514,239,0
img0,496,657,1
img0,527,257,0
img0,510,658,1
img0,542,256,0
img0,525,657,1
img0,557,241,0
img0,539,657,1
img0,571,241,0
img0,552,657,1
img0,585,241,0
img0,567,657,1
img0,600,241,0
img0,582,657,1
img0,614,242,0
img0,596,657,1
img0,628,243,0
img0,610,657,1
img0,641,243,0
img0,624,658,1
img0,657,243,0
img0,638,659,1
img0,672,243,0
img0,653,659,1
img0,686,243,0
img0,667,659,1
img0,699,243,0
img0,681,659,1
img0,713,245,0
img0,694,659,1
img0,726,245,0
img0,708,660,1
img0,738,295,0
img0,723,661,1
img1,306,72,0
img1,192,571,1
img1,320,94,0
img1,203,573,1
img1,332,94,0
img1,215,575,1
img1,341,72,0
img1,225,577,1
img1,353,72,0
img1,237,581,1
img1,366,72,0
img1,248,584,1
img1,377,72,0
img1,258,586,1
img1,389,72,0
img1,270,587,1
img1,401,72,0
img1,281,591,1
img1,412,72,0
img1,292,594,1
img1,424,72,0
img1,304,597,1
img1,435,72,0
img1,315,599,1
img1,446,72,0
img1,326,600,1
img1,457,72,0
img1,336,603,1
img1,470,72,0
img1,348,604,1
img1,482,72,0
img1,358,609,1
img1,493,72,0
img1,369,611,1
img1,505,72,0
img1,380,615,1
img1,517,72,0
img1,391,617,1
img1,527,72,0
img1,402,619,1
img1,540,72,0
img1,413,620,1
img1,554,105,0
img1,425,624,1
img1,564,105,0
img1,436,626,1
img1,573,77,0
img1,448,627,1
img1,584,82,0
img1,458,631,1
img1,595,85,0
img1,469,635,1
img1,606,86,0
img1,481,635,1
img1,617,90,0
img1,490,639,1
img1,628,90,0
img1,502,640,1
img1,639,94,0
img1,512,643,1
img2,91,659,0
img2,579,672,1
img2,91,647,0
img2,580,660,1
img2,93,635,0
img2,582,648,1
img2,93,621,0
img2,582,635,1
img2,93,609,0
img2,582,623,1
img2,94,597,0
img2,583,611,1
img2,94,585,0
img2,584,598,1
img2,93,572,0
img2,585,585,1
img2,95,560,0
img2,583,574,1
img2,95,547,0
img2,582,561,1
img2,96,535,0
img2,583,548,1
img2,95,522,0
img2,584,536,1
img2,95,510,0
img2,585,523,1
img2,96,497,0
img2,585,511,1
img2,97,485,0
img2,585,498,1
img2,97,472,0
img2,586,485,1
img2,123,459,0
img2,587,473,1
img2,123,447,0
img2,587,461,1
img2,99,434,0
img2,588,448,1
img2,99,423,0
img2,589,435,1
img2,99,410,0
img2,589,424,1
img2,99,398,0
img2,589,411,1
img2,100,385,0
img2,589,399,1
img2,100,373,0
img2,589,387,1
img2,100,360,0
img2,589,373,1
img2,99,347,0
img2,590,361,1
img2,100,335,0
img2,589,350,1
img2,103,323,0
img2,589,336,1
img2,102,310,0
img2,591,324,1
img2,102,298,0
img2,567,310,1
img2,102,286,0
img2,568,298,1
img2,102,273,0
img2,591,287,1
img2,102,261,0
img2,591,274,1
img2,126,248,0
img2,593,261,1
img2,127,235,0
img2,593,249,1
img2,105,223,0
img2,593,237,1
img2,104,210,0
img2,593,224,1
img2,104,197,0
img2,594,211,1
img2,105,184,0
img2,595,199,1
img2,110,171,0
img2,595,187,1
img2,108,160,0
img2,596,174,1
img2,108,147,0
img2,596,162,1
img2,107,136,0
img2,597,150,1
img2,106,123,0
img2,597,137,1
img3,267,275,0
img3,139,528,1
img3,318,234,0
img3,169,540,1
img3,347,243,0
img3,197,557,1
img3,380,258,0
img3,228,572,1
img3,409,277,0
img3,257,587,1
img3,435,285,0
img3,283,599,1
img3,465,303,0
img3,316,611,1
img3,494,318,0
img3,353,612,1
img3,520,330,0
img3,398,590,1
img4,205,641,0
img4,449,684,1
img4,192,617,0
img4,488,671,1
img4,179,586,0
img4,536,652,1
img4,155,556,0
img4,601,640,1
img4,139,531,0
img4,644,626,1
img4,124,504,0
img4,696,612,1
img4,106,474,0
img4,729,595,1
img4,87,443,0
img4,713,564,1
img4,67,415,0
img4,700,537,1
img4,97,394,0
img4,688,513,1
img4,96,376,0
img4,672,486,1
img4,120,353,0
img4,652,456,1
img4,144,330,0
img4,633,424,1
img4,158,312,0
img4,623,401,1
img4,182,293,0
img4,606,375,1
img4,213,269,0
img4,587,342,1
img4,225,250,0
img4,576,315,1
img4,253,228,0
img4,554,284,1
img4,279,204,0
img4,539,253,1
img5,66,236,0
img5,189,756,1
img5,86,230,0
img5,212,754,1
img5,110,225,0
img5,234,750,1
img5,130,221,0
img5,256,745,1
img5,145,213,0
img5,274,711,1
img5,168,211,0
img5,294,712,1
img5,185,203,0
img5,313,731,1
img5,205,201,0
img5,331,725,1
img5,228,198,0
img5,353,720,1
img5,244,189,0
img5,373,715,1
img5,267,189,0
img5,392,711,1
img5,284,180,0
img5,411,705,1
img5,307,178,0
img5,430,700,1
img5,324,170,0
img5,452,697,1
img5,343,167,0
img5,471,693,1
img5,364,164,0
img5,489,688,1
img5,385,158,0
img5,511,681,1
img5,406,152,0
img5,533,677,1
img5,426,146,0
img5,553,672,1
img5,445,142,0
img5,571,667,1
img5,465,137,0
img5,590,663,1
img5,486,135,0
img5,610,658,1
img5,506,130,0
img5,632,651,1
img5,525,120,0
img5,653,650,1
img5,545,118,0
img5,670,644,1
img5,567,116,0
img5,691,637,1
img5,582,109,0
img5,711,635,1
img5,602,106,0
img5,728,629,1
img5,625,102,0
img5,748,605,1
img6,111,383,0
img6,476,733,1
img6,125,369,0
img6,502,731,1
img6,140,355,0
img6,531,731,1
img6,153,341,0
img6,559,734,1
img6,166,327,0
img6,576,720,1
img6,181,313,0
img6,591,706,1
img6,194,298,0
img6,603,692,1
img6,224,294,0
img6,617,677,1
img6,235,279,0
img6,631,664,1
img6,236,255,0
img6,645,649,1
img6,249,241,0
img6,658,634,1
img6,264,227,0
img6,672,621,1
img6,279,211,0
img6,687,605,1
img6,292,197,0
img6,702,591,1
img6,305,185,0
img6,714,579,1
img6,318,170,0
img6,728,563,1
img6,333,153,0
img6,732,534,1
img6,346,140,0
img6,734,513,1
img6,384,145,0
img6,732,483,1
img6,397,128,0
img6,732,452,1
img7,109,125,0
img7,100,589,1
img7,126,124,0
img7,115,590,1
img7,140,127,0
img7,130,592,1
img7,155,124,0
img7,143,589,1
img7,170,123,0
img7,157,590,1
img7,183,124,0
img7,172,592,1
img7,197,126,0
img7,187,590,1
img7,211,124,0
img7,200,593,1
img7,226,123,0
img7,213,590,1
img7,242,124,0
img7,230,591,1
img7,255,124,0
img7,244,594,1
img7,268,126,0
img7,258,592,1
img7,283,125,0
img7,272,590,1
img7,299,126,0
img7,288,590,1
img7,310,137,0
img7,302,592,1
img7,322,139,0
img7,316,592,1
img7,341,127,0
img7,331,592,1
img7,356,124,0
img7,346,594,1
img7,371,125,0
img7,359,592,1
img7,385,126,0
img7,374,593,1
img7,398,127,0
img7,388,594,1
img7,412,124,0
img7,401,592,1
img7,427,126,0
img7,417,592,1
img7,443,124,0
img7,433,593,1
img7,457,126,0
img7,446,594,1
img7,469,133,0
img7,461,594,1
img7,479,151,0
img7,475,594,1
img7,491,156,0
img7,490,596,1
img7,515,128,0
img7,504,594,1
img7,528,126,0
img7,517,595,1
img7,541,128,0
img7,531,593,1
img7,552,144,0
img7,547,595,1
img7,564,151,0
img7,561,594,1
img7,587,126,0
img7,575,595,1
img7,602,126,0
img7,590,596,1
img7,616,128,0
img7,606,596,1
img7,629,128,0
img7,619,594,1
img7,643,126,0
img7,633,597,1
img7,659,126,0
img7,647,596,1
img7,673,128,0
img7,662,598,1
img7,687,126,0
img7,675,596,1
img7,702,128,0
img7,691,596,1
img8,150,446,0
img8,416,693,1
img8,142,418,0
img8,437,691,1
img8,145,402,0
img8,454,689,1
img8,152,389,0
img8,471,685,1
img8,154,370,0
img8,492,683,1
img8,157,354,0
img8,512,683,1
img8,160,337,0
img8,530,679,1
img8,171,328,0
img8,551,678,1
img8,181,318,0
img8,566,674,1
img8,173,288,0
img8,574,661,1
img8,175,272,0
img8,582,651,1
img8,180,257,0
img8,620,664,1
img8,182,238,0
img8,639,662,1
img8,186,221,0
img8,657,655,1
img8,192,205,0
img8,659,638,1
img8,196,190,0
img8,661,620,1
img8,209,182,0
img8,662,603,1
img8,226,180,0
img8,664,586,1
img8,244,175,0
img8,667,567,1
img8,260,171,0
img8,670,550,1
img8,275,167,0
img8,672,534,1
img8,291,163,0
img8,676,517,1
img8,311,159,0
img8,678,500,1
img8,328,155,0
img8,672,475,1
img8,345,150,0
img8,682,462,1
img8,362,146,0
img8,683,443,1
img8,399,161,0
img8,689,427,1
img8,410,154,0
img8,689,410,1
img8,414,133,0
img8,689,390,1
img9,53,338,0
img9,611,645,1
img9,53,322,0
img9,617,631,1
img9,52,305,0
img9,623,619,1
img9,56,293,0
img9,629,608,1
img9,61,282,0
img9,632,596,1
img9,68,271,0
img9,618,572,1
img9,74,258,0
img9,623,561,1
img9,80,247,0
img9,654,563,1
img9,101,242,0
img9,662,551,1
img9,107,231,0
img9,668,539,1
img9,100,212,0
img9,675,528,1
img9,106,200,0
img9,682,516,1
img9,112,189,0
img9,688,504,1
img9,119,178,0
img9,694,494,1
img9,124,166,0
img9,700,482,1
img9,130,155,0
img9,706,471,1
img9,136,143,0
img9,711,459,1
img9,143,131,0
img9,718,447,1
img10,50,489,0
img10,491,749,1
img10,50,462,0
img10,533,747,1
img10,52,436,0
img10,584,748,1
img10,50,408,0
img10,626,747,1
img10,50,387,0
img10,670,750,1
img10,52,365,0
img10,693,741,1
img10,52,337,0
img10,751,745,1
img10,50,312,0
img10,753,723,1
img10,50,288,0
img10,751,698,1
img10,53,261,0
img10,751,670,1
img10,50,232,0
img10,751,642,1
img10,51,211,0
img10,751,618,1
img10,50,183,0
img10,749,590,1
img10,50,155,0
img10,753,567,1
img10,52,132,0
img10,749,539,1
img10,50,106,0
img10,753,515,1
img10,53,84,0
img10,751,492,1
img10,52,56,0
img10,750,466,1
img10,85,52,0
img10,752,443,1
img10,136,56,0
img10,751,416,1
img10,174,54,0
img10,751,391,1
img10,228,59,0
img10,751,365,1
img10,261,52,0
img10,755,341,1
img10,306,54,0
img10,751,316,1
img11,628,192,0
img11,312,225,1
img11,628,203,0
img11,297,238,1
img11,628,214,0
img11,282,250,1
img11,630,226,0
img11,270,264,1
img11,631,237,0
img11,252,277,1
img11,633,248,0
img11,239,290,1
img11,633,260,0
img11,221,303,1
img11,633,271,0
img11,209,315,1
img11,634,283,0
img11,200,328,1
img11,636,294,0
img11,201,339,1
img11,638,305,0
img11,201,351,1
img11,641,317,0
