N_img,x_wp,y_wp,class
img0,124,464,0
img0,180,541,1
img0,106,411,0
img0,199,538,1
img0,90,360,0
img0,213,529,1
img0,74,312,0
img0,232,525,1
img0,72,281,0
img0,246,515,1
img0,86,272,0
img0,259,505,1
img0,101,266,0
img0,281,506,1
img0,116,258,0
img0,297,498,1
img0,130,250,0
img0,316,496,1
img0,144,240,0
img0,333,490,1
img0,158,231,0
img0,350,485,1
img0,172,222,0
img0,368,482,1
img0,187,216,0
img0,388,478,1
img0,201,208,0
img0,402,469,1
img0,218,202,0
img0,420,466,1
img0,232,194,0
img0,436,460,1
img0,246,184,0
img0,454,456,1
img0,260,174,0
img0,466,444,1
img0,274,166,0
img0,479,434,1
img0,289,160,0
img0,508,441,1
img0,304,152,0
img0,520,432,1
img0,319,144,0
img0,539,428,1
img0,334,136,0
img0,558,426,1
img0,350,128,0
img0,573,420,1
img0,366,118,0
img0,587,414,1
img0,379,110,0
img0,605,411,1
img0,522,274,0
img0,624,410,1
img0,537,266,0
img0,640,401,1
img0,552,258,0
img0,656,398,1
img0,566,248,0
img0,668,390,1
img0,582,242,0
img0,685,385,1
img0,596,233,0
img0,702,378,1
img0,626,244,0
img0,715,368,1
img0,676,283,0
img0,721,345,1
img1,560,534,0
img1,710,545,1
img1,416,512,0
img1,716,532,1
img1,21,474,0
img1,719,520,1
img1,26,462,0
img1,719,509,1
img1,32,451,0
img1,722,496,1
img1,34,438,0
img1,725,484,1
img1,39,426,0
img1,726,472,1
img1,44,414,0
img1,728,459,1
img1,48,402,0
img1,727,446,1
img1,56,390,0
img1,727,434,1
img1,58,379,0
img1,731,422,1
img1,63,368,0
img1,732,411,1
img1,69,356,0
img1,734,399,1
img1,73,345,0
img1,735,388,1
img1,76,334,0
img1,738,376,1
img1,83,322,0
img1,741,364,1
img1,89,312,0
img1,741,352,1
img1,92,300,0
img1,744,341,1
img1,96,288,0
img1,744,330,1
img1,101,278,0
img1,748,318,1
img1,106,266,0
img1,751,308,1
img1,109,254,0
img1,753,296,1
img1,142,246,0
img1,754,284,1
img1,151,234,0
img1,758,274,1
img2,199,141,0
img2,582,358,1
img2,194,152,0
img2,576,368,1
img2,188,162,0
img2,570,378,1
img2,180,170,0
img2,564,390,1
img2,174,181,0
img2,556,398,1
img2,170,191,0
img2,550,407,1
img2,163,202,0
img2,546,419,1
img2,157,212,0
img2,540,430,1
img2,152,222,0
img2,534,440,1
img2,146,232,0
img2,528,450,1
img2,140,244,0
img2,522,461,1
img2,134,254,0
img2,517,472,1
img2,128,264,0
img2,512,482,1
img2,120,274,0
img2,506,494,1
img2,119,287,0
img2,502,504,1
img2,114,296,0
img2,685,623,1
img2,108,304,0
img2,680,633,1
img2,102,314,0
img2,676,642,1
img2,97,323,0
img2,672,652,1
img2,92,334,0
img2,668,662,1
img2,88,343,0
img2,662,671,1
img2,84,352,0
img2,625,662,1
img2,79,361,0
img2,584,651,1
img2,78,373,0
img2,476,602,1
img3,246,71,0
img3,692,228,1
img3,235,82,0
img3,725,252,1
img3,232,95,0
img3,732,268,1
img3,228,107,0
img3,779,298,1
img3,226,120,0
img3,770,308,1
img3,224,130,0
img3,760,318,1
img3,220,142,0
img3,753,328,1
img3,215,154,0
img3,739,337,1
img3,212,166,0
img3,734,350,1
img3,208,179,0
img3,726,360,1
img3,205,190,0
img3,718,370,1
img3,200,202,0
img3,712,382,1
img3,196,214,0
img3,704,392,1
img3,192,226,0
img3,692,402,1
img3,187,238,0
img3,687,412,1
img3,184,250,0
img3,680,423,1
img3,180,262,0
img3,674,434,1
img3,176,273,0
img3,667,446,1
img3,172,284,0
img3,663,458,1
img3,166,296,0
img3,660,470,1
img3,162,308,0
img3,654,482,1
img3,158,322,0
img3,650,496,1
img3,138,332,0
img3,652,514,1
img3,130,342,0
img3,648,528,1
img3,122,352,0
img3,644,538,1
img3,110,360,0
img3,638,550,1
img3,102,371,0
img3,634,562,1
img3,88,380,0
img3,631,576,1
img3,80,392,0
img3,626,588,1
img3,72,402,0
img3,623,599,1
img3,64,413,0
img3,620,612,1
img3,56,423,0
img3,616,624,1
img3,48,434,0
img3,610,636,1
img3,40,444,0
img3,606,648,1
img3,31,454,0
img3,602,660,1
img3,22,464,0
img3,599,672,1
img3,16,476,0
img3,595,684,1
img3,11,488,0
img3,590,696,1
img3,250,587,0
img3,585,708,1
img3,340,634,0
img3,580,720,1
img3,457,688,0
img3,574,732,1
img4,212,140,0
img4,725,316,1
img4,201,158,0
img4,718,337,1
img4,193,177,0
img4,710,356,1
img4,185,196,0
img4,704,375,1
img4,177,216,0
img4,696,394,1
img4,170,234,0
img4,685,412,1
img4,162,254,0
img4,678,432,1
img4,154,272,0
img4,672,451,1
img4,146,290,0
img4,665,470,1
img4,138,310,0
img4,658,490,1
img4,130,328,0
img4,651,508,1
img4,119,346,0
img4,642,527,1
img4,106,364,0
img4,631,545,1
img4,92,381,0
img4,624,564,1
img4,82,398,0
img4,618,582,1
img4,70,415,0
img4,610,602,1
img4,54,432,0
img4,600,620,1
img4,46,450,0
img4,594,638,1
img4,96,488,0
img4,586,658,1
img5,402,53,0
img5,471,70,1
img5,392,66,0
img5,510,95,1
img5,380,82,0
img5,549,122,1
img5,370,98,0
img5,593,148,1
img5,360,112,0
img5,636,174,1
img5,349,124,0
img5,676,198,1
img5,339,138,0
img5,714,224,1
img5,324,152,0
img5,738,248,1
img5,311,166,0
img5,734,264,1
img5,298,181,0
img5,722,278,1
img5,290,196,0
img5,712,292,1
img5,276,210,0
img5,698,306,1
img5,266,224,0
