N_img,x_wp,y_wp,class
img0,161,68,0
img0,199,733,1
img0,171,66,0
img0,210,733,1
img0,184,61,0
img0,223,737,1
img0,195,64,0
img0,235,737,1
img0,207,66,0
img0,248,735,1
img0,220,66,0
img0,260,733,1
img0,231,65,0
img0,273,742,1
img0,244,66,0
img0,285,744,1
img0,256,66,0
img0,296,739,1
img0,266,67,0
img0,307,739,1
img0,279,67,0
img0,320,741,1
img0,290,67,0
img0,332,740,1
img0,302,66,0
img0,343,738,1
img0,315,64,0
img0,356,744,1
img0,326,74,0
img0,367,740,1
img0,339,74,0
img0,379,734,1
img0,351,64,0
img0,391,734,1
img0,363,65,0
img0,403,732,1
img0,376,66,0
img0,415,729,1
img0,387,66,0
img0,427,736,1
img0,398,67,0
img0,438,735,1
img0,410,64,0
img0,450,737,1
img0,421,58,0
img0,461,733,1
img0,435,65,0
img0,473,731,1
img0,446,63,0
img0,485,738,1
img0,458,69,0
img0,497,741,1
img0,471,68,0
img0,511,738,1
img0,481,68,0
img0,522,733,1
img0,493,67,0
img0,533,733,1
img0,505,67,0
img0,546,741,1
img0,518,67,0
img0,558,739,1
img0,529,64,0
img0,570,739,1
img0,540,71,0
img0,580,737,1
img0,553,70,0
img0,592,723,1
img0,566,62,0
img0,604,723,1
img0,577,61,0
img0,617,734,1
img0,589,65,0
img0,629,733,1
img0,600,67,0
img0,640,733,1
img1,187,578,0
img1,355,748,1
img1,179,552,0
img1,367,743,1
img1,177,532,0
img1,386,744,1
img1,171,508,0
img1,399,738,1
img1,159,479,0
img1,423,746,1
img1,147,450,0
img1,437,742,1
img1,137,421,0
img1,449,736,1
img1,137,403,0
img1,470,739,1
img1,129,377,0
img1,486,738,1
img1,121,353,0
img1,497,732,1
img1,117,329,0
img1,513,730,1
img1,110,303,0
img1,532,730,1
img1,100,276,0
img1,546,728,1
img1,99,258,0
img1,564,728,1
img1,93,232,0
img1,586,731,1
img1,81,203,0
img1,602,730,1
img1,81,185,0
img1,612,722,1
img1,66,151,0
img1,636,730,1
img1,61,129,0
img1,648,724,1
img1,53,103,0
img1,665,722,1
img1,65,97,0
img1,689,728,1
img1,78,92,0
img1,702,725,1
img1,92,88,0
img1,716,720,1
img1,110,89,0
img1,731,718,1
img1,123,83,0
img1,750,718,1
img1,147,90,0
img1,756,704,1
img1,156,82,0
img1,750,682,1
img1,179,87,0
img1,748,664,1
img1,194,83,0
